ORIGINAL,uri
"Buell, Mahlon.",/agents/people/442
"Bulkley, Jonathan W.",/agents/people/443
"Bull, Frances E.",/agents/people/444
"Bullard, Perry.",/agents/people/445
"Bumgardner, Eleanor M. (Eleanor Margaret)",/agents/people/446
"Bump, Orrin.",/agents/people/447
"Bundy, Edgar C.",/agents/people/448
"Bundy, McGeorge.",/agents/people/449
"Buning, Harm Leopold.",/agents/people/450
"Burfiend, George.",/agents/people/451
"Burgoyne, John.",/agents/people/452
"Burke, Albert E.",/agents/people/453
"Burke, Emory.",/agents/people/454
"Burke, Joseph Daniel.",/agents/people/455
"Burlingame, Garnet J.",/agents/people/456
"Burmeister, Marguerite.",/agents/people/457
"Burnett, Arthur W.",/agents/people/458
"Burns, Eunice.",/agents/people/459
"Burns, James MacGregor.",/agents/people/460
"Burroughs, Elizabeth.",/agents/people/461
"Burrows, Edgar G.",/agents/people/462
"Burrows, Emmeline.",/agents/people/463
"Bursley, Gilbert E.",/agents/people/464
"Burt, Alvin.",/agents/people/465
"Burt, George.",/agents/people/466
"Burt, John.",/agents/people/467
"Burt, Solon.",/agents/people/468
"Burton, Carol W.",/agents/people/469
"Burton, Nina M.",/agents/people/470
"Bush, Benjamin F.",/agents/people/471
"Buss, Oscar F.",/agents/people/472
"Butler, Eleanor.",/agents/people/473
"Butler, Hal.",/agents/people/474
"Butler, Irene Linda Lather.",/agents/people/475
"Butler, Leslie A.",/agents/people/476
"Butler, Orma Fitch.",/agents/people/477
"Butler, Pierce.",/agents/people/478
"Butler, William.",/agents/people/479
"Butterfield, W. V.",/agents/people/480
"Butts, Thomas A.",/agents/people/481
"Butts, William Henry.",/agents/people/482
"Butz, Tim.",/agents/people/483
"Byrd, David R.",/agents/people/484
"Byrd, Letitia J.",/agents/people/485
"Byrd, Letitia.",/agents/people/486
"Cacioppo, George.",/agents/people/487
"Cady, Alvah P.",/agents/people/488
"Cagas, Antonio.",/agents/people/489
"Cagas, Filomena.",/agents/people/490
"Cage, John.",/agents/people/491
"Cain, Elmer I.",/agents/people/492
"Cain, Louise G.",/agents/people/493
"Caldwell, William E.",/agents/people/494
"Cameron, Martha Cavanagh.",/agents/people/495
"Campbell, Albert A.",/agents/people/496
"Campbell, B. Hodges.",/agents/people/497
"Campbell, Ernest T.",/agents/people/498
"Campbell, Jean.",/agents/people/499
"Campbell, Nellie.",/agents/people/500
"Campbell, Robert A.",/agents/people/501
"Campbell, Robert H.",/agents/people/502
"Campbell, Ruth.",/agents/people/503
"Canham, Don.",/agents/people/504
"Cannell, Charles F.",/agents/people/505
"Cantor, Nancy.",/agents/people/506
"Caplan, Abraham.",/agents/people/507
"Cappaert, Lael.",/agents/people/508
"Cappaert, LeRoy.",/agents/people/509
"Carby, Hazel V.",/agents/people/510
"Cardona, Ana Luisa.",/agents/people/511
"Cares, Charles W.",/agents/people/512
"Carey, B. W.",/agents/people/513
"Carey, Ed.",/agents/people/514
"Carey, Edward.",/agents/people/515
"Carey, John.",/agents/people/516
